init_node	term_node	capacity	length	free_flow_time	b	power	speed	toll	link_type
49	50	296	1	12.52	0.15	4	1000	0	1
49	44	820	1	12.22	0.15	4	1000	0	1
50	51	296	1	11.41	0.15	4	1000	0	1
51	52	294	1	25.78	0.15	4	1000	0	1
51	46	435	1	12.37	0.15	4	1000	0	1
52	47	430	1	12.5	0.15	4	1000	0	1
47	42	434	1	12.37	0.15	4	1000	0	1
47	46	295	1	11.82	0.15	4	1000	0	1
46	41	435	1	9.17	0.15	4	1000	0	1
46	45	295	1	11.59	0.15	4	1000	0	1
45	44	295	1	13.06	0.15	4	1000	0	1
44	39	822	1	12.43	0.15	4	1000	0	1
39	34	824	1	12.02	0.15	4	1000	0	1
39	38	340	1	11.52	0.15	4	1000	0	1
38	33	436	1	11.82	0.15	4	1000	0	1
40	39	550	1	9.39	0.15	4	1000	0	1
41	40	600	1	11.9	0.15	4	1000	0	1
41	36	436	1	9.41	0.15	4	1000	0	1
42	37	436	1	12.82	0.15	4	1000	0	1
42	41	600	1	9.87	0.15	4	1000	0	1
37	32	436	1	11.86	0.15	4	1000	0	1
36	37	348	1	13.48	0.15	4	1000	0	1
36	31	436	1	9.22	0.15	4	1000	0	1
35	36	248	1	13.11	0.15	4	1000	0	1
34	35	248	1	12.55	0.15	4	1000	0	1
34	29	815	1	12.19	0.15	4	1000	0	1
33	28	436	1	8.98	0.15	4	1000	0	1
28	23	436	1	12.41	0.15	4	1000	0	1
29	28	150	1	12.15	0.15	4	1000	0	1
29	24	820	1	13.21	0.15	4	1000	0	1
30	29	150	1	9.32	0.15	4	1000	0	1
31	30	172	1	9.62	0.15	4	1000	0	1
31	26	640	1	8.36	0.15	4	1000	0	1
32	31	248	1	9.22	0.15	4	1000	0	1
32	27	437	1	18.33	0.15	4	1000	0	1
27	26	435	1	9.65	0.15	4	1000	0	1
27	21	435	1	14.23	0.15	4	1000	0	1
26	27	435	1	9.65	0.15	4	1000	0	1
26	20	680	1	10.82	0.15	4	1000	0	1
25	26	436	1	13.38	0.15	4	1000	0	1
24	25	170	1	12.41	0.15	4	1000	0	1
24	18	825	1	19.09	0.15	4	1000	0	1
23	17	445	1	14.44	0.15	4	1000	0	1
23	24	170	1	14.76	0.15	4	1000	0	1
17	10	436	1	11.62	0.15	4	1000	0	1
17	18	436	1	12.93	0.15	4	1000	0	1
16	17	436	1	6.67	0.15	4	1000	0	1
16	9	400	1	14.0	0.15	4	1000	0	1
9	10	436	1	8.8	0.15	4	1000	0	1
18	11	824	1	12.46	0.15	4	1000	0	1
18	17	436	1	12.93	0.15	4	1000	0	1
10	9	436	1	8.8	0.15	4	1000	0	1
10	11	436	1	13.45	0.15	4	1000	0	1
19	18	540	1	9.32	0.15	4	1000	0	1
20	19	436	1	10.44	0.15	4	1000	0	1
20	21	436	1	11.85	0.15	4	1000	0	1
20	13	640	1	9.38	0.15	4	1000	0	1
21	20	436	1	9.39	0.15	4	1000	0	1
21	14	436	1	12.32	0.15	4	1000	0	1
21	22	433	1	12.68	0.15	4	1000	0	1
15	14	485	1	12.8	0.15	4	1000	0	1
14	13	480	1	10.63	0.15	4	1000	0	1
14	6	436	1	23.9	0.15	4	1000	0	1
14	15	485	1	12.8	0.15	4	1000	0	1
22	21	433	1	12.68	0.15	4	1000	0	1
22	15	400	1	14.0	0.15	4	1000	0	1
13	14	480	1	12.65	0.15	4	1000	0	1
13	5	640	1	22.56	0.15	4	1000	0	1
12	13	480	1	18.4	0.15	4	1000	0	1
11	8	820	1	13.42	0.15	4	1000	0	1
11	10	436	1	13.45	0.15	4	1000	0	1
8	12	380	1	16.54	0.15	4	1000	0	1
8	3	1000	1	37.53	0.15	4	1000	0	1
7	8	430	1	27.34	0.15	4	1000	0	1
3	4	197	1	30.62	0.15	4	1000	0	1
3	1	1000	1	62.32	0.15	4	1000	0	1
4	3	145	1	29.62	0.15	4	1000	0	1
4	5	179	1	40.12	0.15	4	1000	0	1
5	2	589	1	52.17	0.15	4	1000	0	1
5	6	102	1	9.38	0.15	4	1000	0	1
5	4	187	1	40.12	0.15	4	1000	0	1
6	2	500	1	62.96	0.15	4	1000	0	1
6	5	72	1	9.8	0.15	4	1000	0	1
2	1	640	1	14.71	0.15	4	1000	0	1
1	2	640	1	14.71	0.15	4	1000	0	1
